[2025-12-17 03:52:57] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:52:58] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:00] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:01] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:02] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:03] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:04] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:05] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:06] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:07] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:08] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:09] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:10] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:11] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:12] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:14] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:15] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:16] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:17] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:18] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:18] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:19] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:20] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:21] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:22] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:23] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:24] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:25] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:27] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:28] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:29] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:30] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:31] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:32] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:33] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:34] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:35] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:36] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:38] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:39] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:40] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:41] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:42] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:43] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:44] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:45] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:46] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:47] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:49] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
